K	Conf	Term	2S+1	L	P	2J	CF	AS(Ryd)	NIST(Ryd)	Energy
136	3s.9g	3G	3	4	0	8	37	0.549606	0.549606	0.549606
137	3s.9g	1G	1	4	0	8	37	0.549606	0.549606	0.549606
138	3s.9g	3G	3	4	0	10	37	0.549606	0.549606	0.549606
139	3s.9h	1H*	1	5	1	10	38	0.549630	0.549630	0.549630
140	3s.9h	3H*	3	5	1	8	38	0.549630	0.549630	0.549630
141	3s.9h	3H*	3	5	1	10	38	0.549630	0.549630	0.549630
142	3s.9h	3H*	3	5	1	12	38	0.549630	0.549630	0.549630
143	3s.9i	1I	1	6	0	12	39	0.549637	0.549637	0.549637
144	3s.9i	3I	3	6	0	10	39	0.549637	0.549637	0.549637
145	3s.9i	3I	3	6	0	12	39	0.549637	0.549637	0.549637
146	3s.9i	3I	3	6	0	14	39	0.549637	0.549637	0.549637
147	3s.9k	1K*	1	7	1	14	40	0.549640	0.549640	0.549640
148	3s.9k	3K*	3	7	1	12	40	0.549640	0.549640	0.549640
149	3s.9k	3K*	3	7	1	14	40	0.549640	0.549640	0.549640
150	3s.9k	3K*	3	7	1	16	40	0.549640	0.549640	0.549640
151	3s.11s	3S	3	0	0	2	45	0.550595	0.550596	0.550596
152	3s.10d	1D	1	2	0	4	43	0.550725	0.550725	0.550725
153	3s.11s	1S	1	0	0	0	45	0.551115	-1.000000	0.551115
154	3s.10d	3D	3	2	0	2	43	0.551639	0.551639	0.551639
155	3s.10d	3D	3	2	0	4	43	0.551639	0.551639	0.551639
156	3s.10d	3D	3	2	0	6	43	0.551639	0.551639	0.551639
157	3s.11p	3P*	3	1	1	0	46	0.551645	-1.000000	0.551645
158	3s.11p	3P*	3	1	1	2	46	0.551646	-1.000000	0.551646
159	3s.11p	3P*	3	1	1	4	46	0.551647	-1.000000	0.551647
160	3s.10f	1F*	1	3	1	6	44	0.551887	0.551887	0.551887
161	3s.10f	3F*	3	3	1	4	44	0.551887	0.551887	0.551887
162	3s.10f	3F*	3	3	1	6	44	0.551887	0.551887	0.551887
163	3s.10f	3F*	3	3	1	8	44	0.551887	0.551887	0.551887
164	3s.11p	1P*	1	1	1	2	46	0.551894	0.551894	0.551894
165	3s.12s	3S	3	0	0	2	49	0.552688	0.552688	0.552688
166	3s.11d	1D	1	2	0	4	47	0.552772	0.552772	0.552772
167	3s.12s	1S	1	0	0	0	49	0.553045	-1.000000	0.553045
168	3s.12p	3P*	3	1	1	0	50	0.553427	-1.000000	0.553427
169	3s.12p	3P*	3	1	1	2	50	0.553428	-1.000000	0.553428
170	3s.12p	3P*	3	1	1	4	50	0.553429	-1.000000	0.553429
171	3s.11d	3D	3	2	0	2	47	0.553461	0.553461	0.553461
172	3s.11d	3D	3	2	0	4	47	0.553461	0.553461	0.553461
173	3s.11d	3D	3	2	0	6	47	0.553462	0.553461	0.553461
174	3s.11f	1F*	1	3	1	6	48	0.553647	0.553647	0.553647
175	3s.11f	3F*	3	3	1	4	48	0.553647	0.553647	0.553647
176	3s.11f	3F*	3	3	1	6	48	0.553647	0.553647	0.553647
177	3s.11f	3F*	3	3	1	8	48	0.553647	0.553647	0.553647
178	3s.12p	1P*	1	1	1	2	50	0.553651	0.553651	0.553651
179	3s.13s	3S	3	0	0	2	53	0.554252	0.554252	0.554252
180	3s.12d	1D	1	2	0	4	51	0.554309	0.554309	0.554309
181	3s.13s	1S	1	0	0	0	53	0.554498	-1.000000	0.554498
182	3s.13p	3P*	3	1	1	0	54	0.554780	-1.000000	0.554780
183	3s.13p	3P*	3	1	1	2	54	0.554781	-1.000000	0.554781
184	3s.13p	3P*	3	1	1	4	54	0.554782	-1.000000	0.554782
185	3s.12d	3D	3	2	0	2	51	0.554842	0.554842	0.554842
186	3s.12d	3D	3	2	0	4	51	0.554842	0.554842	0.554842
187	3s.12d	3D	3	2	0	6	51	0.554842	0.554842	0.554842
188	3s.12f	1F*	1	3	1	6	52	0.554984	0.554984	0.554984
189	3s.12f	3F*	3	3	1	4	52	0.554984	0.554984	0.554984
190	3s.12f	3F*	3	3	1	6	52	0.554984	0.554984	0.554984
191	3s.12f	3F*	3	3	1	8	52	0.554984	0.554984	0.554984
192	3s.13p	1P*	1	1	1	2	54	0.554988	0.554988	0.554988
193	3s.14s	3S	3	0	0	2	57	0.555453	0.555453	0.555453
194	3s.13d	1D	1	2	0	4	55	0.555493	0.555493	0.555493
195	3s.14s	1S	1	0	0	0	57	0.555619	-1.000000	0.555619
196	3s.14p	3P*	3	1	1	0	58	0.555831	-1.000000	0.555831
197	3s.14p	3P*	3	1	1	2	58	0.555831	-1.000000	0.555831
198	3s.14p	3P*	3	1	1	4	58	0.555832	-1.000000	0.555832
199	3s.13d	3D	3	2	0	2	55	0.555912	0.555912	0.555912
200	3s.13d	3D	3	2	0	4	55	0.555912	0.555912	0.555912
201	3s.13d	3D	3	2	0	6	55	0.555912	0.555912	0.555912
202	3s.13f	1F*	1	3	1	6	56	0.556024	0.556024	0.556024
203	3s.13f	3F*	3	3	1	4	56	0.556024	0.556024	0.556024
204	3s.13f	3F*	3	3	1	6	56	0.556024	0.556024	0.556024
205	3s.13f	3F*	3	3	1	8	56	0.556024	0.556024	0.556024
206	3s.14p	1P*	1	1	1	2	58	0.556027	0.556027	0.556027
207	3s.15s	3S	3	0	0	2	61	0.556268	-1.000000	0.556268
208	3s.14d	1D	1	2	0	4	59	0.556424	0.556424	0.556424
209	3s.15s	1S	1	0	0	0	61	0.556503	-1.000000	0.556503
210	3s.15p	3P*	3	1	1	0	62	0.556662	-1.000000	0.556662
211	3s.15p	3P*	3	1	1	2	62	0.556662	-1.000000	0.556662
212	3s.15p	3P*	3	1	1	4	62	0.556663	-1.000000	0.556663
213	3s.14d	3D	3	2	0	2	59	0.556759	0.556759	0.556759
214	3s.14d	3D	3	2	0	4	59	0.556759	0.556759	0.556759
215	3s.14d	3D	3	2	0	6	59	0.556759	0.556759	0.556759
216	3s.14f	1F*	1	3	1	6	60	0.556848	0.556848	0.556848
217	3s.14f	3F*	3	3	1	4	60	0.556848	0.556848	0.556848
218	3s.14f	3F*	3	3	1	6	60	0.556848	0.556848	0.556848
219	3s.14f	3F*	3	3	1	8	60	0.556848	0.556848	0.556848
220	3s.15p	1P*	1	1	1	2	62	0.556851	0.556851	0.556851
221	3s.16s	3S	3	0	0	2	65	0.557013	-1.000000	0.557013
222	3s.15d	1D	1	2	0	4	63	0.557168	0.557168	0.557168
223	3s.16s	1S	1	0	0	0	65	0.557212	-1.000000	0.557212
224	3s.15d	3D	3	2	0	2	63	0.557320	-1.000000	0.557320
225	3s.15d	3D	3	2	0	4	63	0.557320	-1.000000	0.557320
226	3s.15d	3D	3	2	0	6	63	0.557320	-1.000000	0.557320
227	3s.16p	3P*	3	1	1	0	66	0.557332	-1.000000	0.557332
228	3s.16p	3P*	3	1	1	2	66	0.557332	-1.000000	0.557332
229	3s.16p	3P*	3	1	1	4	66	0.557333	-1.000000	0.557333
230	3s.15f	1F*	1	3	1	6	64	0.557513	0.557513	0.557513
231	3s.15f	3F*	3	3	1	4	64	0.557513	0.557513	0.557513
232	3s.15f	3F*	3	3	1	6	64	0.557513	0.557513	0.557513
233	3s.15f	3F*	3	3	1	8	64	0.557513	0.557513	0.557513
234	3s.16p	1P*	1	1	1	2	66	0.557515	0.557515	0.557515
235	3s.17s	3S	3	0	0	2	68	0.557618	-1.000000	0.557618
236	3s.16d	1D	1	2	0	4	67	0.557770	0.557770	0.557770
237	3s.17s	1S	1	0	0	0	68	0.557791	-1.000000	0.557791
238	3s.16d	3D	3	2	0	2	67	0.557869	-1.000000	0.557869
239	3s.16d	3D	3	2	0	4	67	0.557869	-1.000000	0.557869
240	3s.16d	3D	3	2	0	6	67	0.557869	-1.000000	0.557869
241	3s.17p	3P*	3	1	1	0	69	0.557880	-1.000000	0.557880
242	3s.17p	3P*	3	1	1	2	69	0.557880	-1.000000	0.557880
243	3s.17p	3P*	3	1	1	4	69	0.557881	-1.000000	0.557881
244	3s.17p	1P*	1	1	1	2	69	0.558058	0.558058	0.558058
245	3s.18s	3S	3	0	0	2	71	0.558115	-1.000000	0.558115
246	3s.17d	1D	1	2	0	4	70	0.558269	0.558269	0.558269
247	3s.18s	1S	1	0	0	0	71	0.558272	-1.000000	0.558272
248	3s.17d	3D	3	2	0	2	70	0.558324	-1.000000	0.558324
249	3s.17d	3D	3	2	0	4	70	0.558324	-1.000000	0.558324
250	3s.17d	3D	3	2	0	6	70	0.558324	-1.000000	0.558324
