Confk	Termk	Sk	Lk	Pk	gk	Ek(Ry)	Confi	Termi	Si	Li	Pi	gi	Ei(Ry)	Aki
3s.7h	1H*	1	5	1	11	0.54155556	3s.6d	1D	1	2	0	5	0.52874672	1.577e-07
3s.7h	3H*	3	5	1	33	0.54155556	3s.3d	3D	3	2	0	15	0.43701672	8.118e-06
3s.7h	3H*	3	5	1	33	0.54155556	3s.4d	3D	3	2	0	15	0.49383643	2.123e-06
3s.7h	3H*	3	5	1	33	0.54155556	3s.5d	3D	3	2	0	15	0.51913279	2.154e-07
3s.7i	1I	1	6	0	13	0.54157072	3s.4f	3F*	3	3	1	21	0.49825087	1.513e-06
3s.7i	1I	1	6	0	13	0.54157072	3s.5f	3F*	3	3	1	21	0.52128370	5.674e-07
3s.7i	3I	3	6	0	39	0.54157072	3s.4f	1F*	1	3	1	7	0.49824836	1.505e-06
3s.7i	3I	3	6	0	39	0.54157072	3s.5f	1F*	1	3	1	7	0.52128269	5.659e-07
3s.8d	1D	1	2	0	5	0.54393522	3s.3p	1P*	1	1	1	3	0.31941062	1.600e-02
3s.8d	1D	1	2	0	5	0.54393522	3s.4p	1P*	1	1	1	3	0.44968048	3.475e-05
3s.8d	3D	3	2	0	15	0.54567744	3s.3p	3P*	3	1	1	9	0.19948414	2.850e-02
3s.8d	3D	3	2	0	15	0.54567744	3s.4p	3P*	3	1	1	9	0.43602120	6.993e-06
3s.9p	3P*	3	1	1	9	0.54582950	3s.3d	3D	3	2	0	15	0.43701672	4.347e-07
3s.8f	1F*	1	3	1	7	0.54617128	3s.4s	3S	3	0	0	3	0.37541836	2.379e-05
3s.8f	1F*	1	3	1	7	0.54617128	3s.3d	3D	3	2	0	15	0.43701672	5.122e-07
3s.8f	1F*	1	3	1	7	0.54617128	3s.5s	3S	3	0	0	3	0.47269724	6.566e-07
3s.8f	1F*	1	3	1	7	0.54617128	3s.6s	3S	3	0	0	3	0.50932360	1.135e-07
3s.8f	3F*	3	3	1	21	0.54617128	3s2	1S	1	0	0	1	0.00000000	1.293e-02
3s.8f	3F*	3	3	1	21	0.54617128	3s.4s	1S	1	0	0	1	0.39643154	1.626e-05
3s.8f	3F*	3	3	1	21	0.54617128	3s.3d	1D	1	2	0	5	0.42285584	1.767e-06
3s.9p	1P*	1	1	1	3	0.54618280	3s.3d	1D	1	2	0	5	0.42285584	4.535e-04
3s.9p	1P*	1	1	1	3	0.54618280	3s.4d	1D	1	2	0	5	0.48419848	7.823e-06
3s.9p	1P*	1	1	1	3	0.54618280	3s.5d	1D	1	2	0	5	0.51311972	2.442e-07
3s.8g	3G	3	4	0	27	0.54631250	3s.3p	1P*	1	1	1	3	0.31941062	4.172e-04
3s.8g	3G	3	4	0	27	0.54631250	3s.4p	1P*	1	1	1	3	0.44968048	2.218e-07
3s.8g	3G	3	4	0	27	0.54631250	3s.5p	1P*	1	1	1	3	0.49852264	6.724e-07
3s.8g	3G	3	4	0	27	0.54631250	3s.6p	1P*	1	1	1	3	0.52138137	1.614e-07
3s.8g	1G	1	4	0	9	0.54631250	3s.3p	3P*	3	1	1	9	0.19948414	7.343e-04
3s.8g	1G	1	4	0	9	0.54631250	3s.4p	3P*	3	1	1	9	0.43602120	8.814e-06
3s.8g	1G	1	4	0	9	0.54631250	3s.5p	3P*	3	1	1	9	0.49437523	7.217e-07
3s.8h	1H*	1	5	1	11	0.54634581	3s.3d	1D	1	2	0	5	0.42285584	1.622e-06
3s.8h	1H*	1	5	1	11	0.54634581	3s.4d	1D	1	2	0	5	0.48419848	3.759e-06
3s.8h	1H*	1	5	1	11	0.54634581	3s.5d	1D	1	2	0	5	0.51311972	4.489e-07
3s.8h	3H*	3	5	1	33	0.54634581	3s.3d	3D	3	2	0	15	0.43701672	5.990e-06
3s.8h	3H*	3	5	1	33	0.54634581	3s.4d	3D	3	2	0	15	0.49383643	1.121e-06
3s.8h	3H*	3	5	1	33	0.54634581	3s.5d	3D	3	2	0	15	0.51913279	2.774e-07
3s.9d	1D	1	2	0	5	0.54791972	3s.3p	1P*	1	1	1	3	0.31941062	2.594e-02
3s.9d	1D	1	2	0	5	0.54791972	3s.4p	1P*	1	1	1	3	0.44968048	7.465e-05
3s.9d	1D	1	2	0	5	0.54791972	3s.5p	1P*	1	1	1	3	0.49852264	3.766e-07
3s.9d	3D	3	2	0	15	0.54916218	3s.3p	3P*	3	1	1	9	0.19948414	4.773e-02
3s.9d	3D	3	2	0	15	0.54916218	3s.4p	3P*	3	1	1	9	0.43602120	1.357e-05
3s.10p	3P*	3	1	1	9	0.54922800	3s.3d	3D	3	2	0	15	0.43701672	5.779e-07
3s.9f	1F*	1	3	1	7	0.54950572	3s2	1S	1	0	0	1	0.00000000	2.674e-02
3s.9f	1F*	1	3	1	7	0.54950572	3s.4s	1S	1	0	0	1	0.39643154	4.158e-05
3s.9f	1F*	1	3	1	7	0.54950572	3s.3d	1D	1	2	0	5	0.42285584	4.588e-06
3s.9f	1F*	1	3	1	7	0.54950572	3s.5s	1S	1	0	0	1	0.47892739	1.612e-07
3s.9f	3F*	3	3	1	21	0.54950572	3s.4s	3S	3	0	0	3	0.37541836	4.975e-05
3s.9f	3F*	3	3	1	21	0.54950572	3s.3d	3D	3	2	0	15	0.43701672	8.495e-07
3s.9f	3F*	3	3	1	21	0.54950572	3s.5s	3S	3	0	0	3	0.47269724	6.925e-07
3s.10p	1P*	1	1	1	3	0.54951500	3s.3d	1D	1	2	0	5	0.42285584	7.692e-04
3s.10p	1P*	1	1	1	3	0.54951500	3s.4d	1D	1	2	0	5	0.48419848	1.488e-05
3s.10p	1P*	1	1	1	3	0.54951500	3s.5d	1D	1	2	0	5	0.51311972	4.748e-07
3s.9g	3G	3	4	0	27	0.54960627	3s.3p	1P*	1	1	1	3	0.31941062	7.763e-04
3s.9g	3G	3	4	0	27	0.54960627	3s.4p	1P*	1	1	1	3	0.44968048	1.997e-07
3s.9g	3G	3	4	0	27	0.54960627	3s.5p	1P*	1	1	1	3	0.49852264	3.251e-07
3s.9g	3G	3	4	0	27	0.54960627	3s.6p	1P*	1	1	1	3	0.52138137	1.198e-07
3s.9g	1G	1	4	0	9	0.54960627	3s.3p	3P*	3	1	1	9	0.19948414	2.691e-03
3s.9g	1G	1	4	0	9	0.54960627	3s.4p	3P*	3	1	1	9	0.43602120	8.702e-06
3s.9g	1G	1	4	0	9	0.54960627	3s.5p	3P*	3	1	1	9	0.49437523	6.472e-07
3s.9h	1H*	1	5	1	11	0.54962983	3s.3d	3D	3	2	0	15	0.43701672	3.361e-06
3s.9h	1H*	1	5	1	11	0.54962983	3s.4d	3D	3	2	0	15	0.49383643	6.875e-07
3s.9h	1H*	1	5	1	11	0.54962983	3s.5d	3D	3	2	0	15	0.51913279	2.361e-07
3s.9h	3H*	3	5	1	33	0.54962983	3s.4d	1D	1	2	0	5	0.48419848	3.074e-06
3s.9h	3H*	3	5	1	33	0.54962983	3s.5d	1D	1	2	0	5	0.51311972	4.769e-07
3s.9i	1I	1	6	0	13	0.54963730	3s.4f	1F*	1	3	1	7	0.49824836	1.560e-06
3s.9i	3I	3	6	0	39	0.54963730	3s.4f	3F*	3	3	1	21	0.49825087	1.566e-06
3s.9k	1K*	1	7	1	15	0.54964021	3s.5g	3G	3	4	0	27	0.52181666	4.933e-07
3s.9k	3K*	3	7	1	45	0.54964021	3s.5g	1G	1	4	0	9	0.52181666	4.932e-07
3s.11s	3S	3	0	0	3	0.55059550	3s.4f	3F*	3	3	1	21	0.49825087	1.430e-07
3s.10d	1D	1	2	0	5	0.55072514	3s.3p	1P*	1	1	1	3	0.31941062	4.171e-02
3s.10d	1D	1	2	0	5	0.55072514	3s.4p	1P*	1	1	1	3	0.44968048	1.427e-04
