Confk	Termk	Sk	Lk	Pk	gk	Ek(Ry)	Confi	Termi	Si	Li	Pi	gi	Ei(Ry)	Aki	fik	gf	source
3s.4d	3D	3	2	0	3	0.49383689	3s.3p	3P*	3	1	1	3	0.19929833	1.962e+07	2.816e-02	8.447e-02	auto
3s.4d	3D	3	2	0	3	0.49383689	3s.3p	3P*	3	1	1	5	0.19966935	1.305e+06	1.126e-03	5.632e-03	auto
3s.4d	3D	3	2	0	3	0.49383689	3s.3p	1P*	1	1	1	3	0.31941062	1.763e+01	7.214e-08	2.164e-07	auto
3s.4d	3D	3	2	0	3	0.49383689	3s.4p	3P*	3	1	1	1	0.43596035	5.510e+06	6.140e-01	6.140e-01	nist
3s.4d	3D	3	2	0	3	0.49383689	3s.4p	3P*	3	1	1	3	0.43599038	3.700e+06	1.377e-01	4.130e-01	auto
3s.4d	3D	3	2	0	3	0.49383689	3s.4p	3P*	3	1	1	5	0.43605187	2.457e+05	5.496e-03	2.748e-02	auto
3s.4d	3D	3	2	0	3	0.49383689	3s.4p	1P*	1	1	1	3	0.44968048	6.813e+00	4.350e-07	1.305e-06	auto
3s.4d	3D	3	2	0	5	0.49383652	3s.3p	3P*	3	1	1	3	0.19929833	3.740e+07	8.940e-02	2.682e-01	nist
3s.4d	3D	3	2	0	5	0.49383652	3s.3p	3P*	3	1	1	5	0.19966935	1.174e+07	1.689e-02	8.445e-02	auto
3s.4d	3D	3	2	0	5	0.49383652	3s.3p	1P*	1	1	1	3	0.31941062	3.311e+01	2.258e-07	6.774e-07	auto
3s.4d	3D	3	2	0	5	0.49383652	3s.4p	3P*	3	1	1	3	0.43599038	7.420e+06	4.600e-01	1.380e+00	nist
3s.4d	3D	3	2	0	5	0.49383652	3s.4p	3P*	3	1	1	5	0.43605187	2.211e+06	8.243e-02	4.122e-01	auto
3s.4d	3D	3	2	0	5	0.49383652	3s.4p	1P*	1	1	1	3	0.44968048	1.310e+01	1.394e-06	4.182e-06	auto
3s.4d	3D	3	2	0	7	0.49383617	3s.3p	3P*	3	1	1	5	0.19966935	4.960e+07	1.000e-01	5.000e-01	nist
3s.4d	3D	3	2	0	7	0.49383617	3s.4p	3P*	3	1	1	5	0.43605187	9.870e+06	5.150e-01	2.575e+00	nist
3s.5p	3P*	3	1	1	1	0.49435152	3s.4s	3S	3	0	0	3	0.37541836	1.230e+06	3.610e-03	1.083e-02	nist
3s.5p	3P*	3	1	1	1	0.49435152	3s.3d	3D	3	2	0	3	0.43701687	3.540e+05	4.470e-03	1.341e-02	nist
3s.5p	3P*	3	1	1	1	0.49435152	3s.5s	3S	3	0	0	3	0.47269724	2.240e+06	1.980e-01	5.940e-01	nist
3s.5p	3P*	3	1	1	1	0.49435152	3s.4d	3D	3	2	0	3	0.49383689	9.216e+01	1.444e-02	4.332e-02	auto
3s.5p	3P*	3	1	1	3	0.49436316	3s2	1S	1	0	0	1	0.00000000	1.474e+03	2.253e-06	2.253e-06	auto
3s.5p	3P*	3	1	1	3	0.49436316	3s.4s	3S	3	0	0	3	0.37541836	1.230e+06	1.080e-02	3.240e-02	nist
3s.5p	3P*	3	1	1	3	0.49436316	3s.4s	1S	1	0	0	1	0.39643154	3.518e+01	1.370e-06	1.370e-06	auto
3s.5p	3P*	3	1	1	3	0.49436316	3s.3d	1D	1	2	0	5	0.42285584	2.491e+01	3.639e-07	1.819e-06	auto
3s.5p	3P*	3	1	1	3	0.49436316	3s.3d	3D	3	2	0	3	0.43701687	9.700e+04	3.672e-03	1.102e-02	auto
3s.5p	3P*	3	1	1	3	0.49436316	3s.3d	3D	3	2	0	5	0.43701659	2.650e+05	6.030e-03	3.015e-02	nist
3s.5p	3P*	3	1	1	3	0.49436316	3s.5s	3S	3	0	0	3	0.47269724	2.240e+06	5.950e-01	1.785e+00	nist
3s.5p	3P*	3	1	1	3	0.49436316	3s.5s	1S	1	0	0	1	0.47892739	1.360e+01	2.132e-05	2.132e-05	auto
3s.5p	3P*	3	1	1	3	0.49436316	3s.4d	1D	1	2	0	5	0.48419848	3.889e+00	2.812e-06	1.406e-05	auto
3s.5p	3P*	3	1	1	3	0.49436316	3s.4d	3D	3	2	0	3	0.49383689	2.509e+01	1.128e-02	3.383e-02	auto
3s.5p	3P*	3	1	1	3	0.49436316	3s.4d	3D	3	2	0	5	0.49383652	7.522e+01	2.026e-02	1.013e-01	auto
3s.5p	3P*	3	1	1	5	0.49438722	3s.4s	3S	3	0	0	3	0.37541836	1.230e+06	1.800e-02	5.400e-02	nist
3s.5p	3P*	3	1	1	5	0.49438722	3s.3d	1D	1	2	0	5	0.42285584	4.171e-04	1.015e-11	5.074e-11	auto
3s.5p	3P*	3	1	1	5	0.49438722	3s.3d	3D	3	2	0	3	0.43701687	3.888e+03	2.451e-04	7.353e-04	auto
3s.5p	3P*	3	1	1	5	0.49438722	3s.3d	3D	3	2	0	5	0.43701659	5.833e+04	2.206e-03	1.103e-02	auto
3s.5p	3P*	3	1	1	5	0.49438722	3s.3d	3D	3	2	0	7	0.43701675	2.980e+05	8.040e-03	5.628e-02	nist
3s.5p	3P*	3	1	1	5	0.49438722	3s.5s	3S	3	0	0	3	0.47269724	2.250e+06	9.930e-01	2.979e+00	nist
3s.5p	3P*	3	1	1	5	0.49438722	3s.4d	1D	1	2	0	5	0.48419848	1.586e-04	1.902e-10	9.510e-10	auto
3s.5p	3P*	3	1	1	5	0.49438722	3s.4d	3D	3	2	0	3	0.49383689	1.183e+00	8.105e-04	2.431e-03	auto
3s.5p	3P*	3	1	1	5	0.49438722	3s.4d	3D	3	2	0	5	0.49383652	1.774e+01	7.282e-03	3.641e-02	auto
3s.5p	3P*	3	1	1	5	0.49438722	3s.4d	3D	3	2	0	7	0.49383617	9.922e+01	2.906e-02	2.034e-01	auto
3s.4f	1F*	1	3	1	7	0.49824836	3s.3d	1D	1	2	0	5	0.42285584	1.680e+07	5.140e-01	2.570e+00	nist
3s.4f	1F*	1	3	1	7	0.49824836	3s.3d	3D	3	2	0	5	0.43701659	2.478e+05	1.152e-02	5.760e-02	auto
3s.4f	1F*	1	3	1	7	0.49824836	3s.3d	3D	3	2	0	7	0.43701675	3.093e+04	1.027e-03	7.189e-03	auto
3s.4f	1F*	1	3	1	7	0.49824836	3s.4d	1D	1	2	0	5	0.48419848	8.373e+05	7.393e-01	3.696e+00	auto
3s.4f	1F*	1	3	1	7	0.49824836	3s.4d	3D	3	2	0	5	0.49383652	3.291e+02	2.947e-03	1.473e-02	auto
3s.4f	1F*	1	3	1	7	0.49824836	3s.4d	3D	3	2	0	7	0.49383617	4.112e+01	2.630e-04	1.841e-03	auto
3s.4f	3F*	3	3	1	5	0.49825033	3s.4s	3S	3	0	0	3	0.37541836	2.420e-11	3.328e-19	9.984e-19	auto
3s.4f	3F*	3	3	1	5	0.49825033	3s.3d	1D	1	2	0	5	0.42285584	1.021e-02	2.236e-10	1.118e-09	auto
3s.4f	3F*	3	3	1	5	0.49825033	3s.3d	3D	3	2	0	3	0.43701687	1.400e+07	7.760e-01	2.328e+00	nist
3s.4f	3F*	3	3	1	5	0.49825033	3s.3d	3D	3	2	0	5	0.43701659	2.995e+06	9.944e-02	4.972e-01	auto
3s.4f	3F*	3	3	1	5	0.49825033	3s.3d	3D	3	2	0	7	0.43701675	8.557e+04	2.029e-03	1.421e-02	auto
3s.4f	3F*	3	3	1	5	0.49825033	3s.5s	3S	3	0	0	3	0.47269724	3.789e-15	1.204e-21	3.612e-21	auto
3s.4f	3F*	3	3	1	5	0.49825033	3s.4d	1D	1	2	0	5	0.48419848	8.385e-05	5.287e-11	2.643e-10	auto
3s.4f	3F*	3	3	1	5	0.49825033	3s.4d	3D	3	2	0	3	0.49383689	2.153e+04	2.293e-01	6.880e-01	auto
3s.4f	3F*	3	3	1	5	0.49825033	3s.4d	3D	3	2	0	5	0.49383652	3.986e+03	2.547e-02	1.274e-01	auto
3s.4f	3F*	3	3	1	5	0.49825033	3s.4d	3D	3	2	0	7	0.49383617	1.139e+02	5.198e-04	3.639e-03	auto
3s.4f	3F*	3	3	1	7	0.49825076	3s.3d	1D	1	2	0	5	0.42285584	2.773e+05	8.502e-03	4.251e-02	auto
