T	K	Conf	Term	2S+1	L	P	AS(Ryd)	NIST(Ryd)	Energy
162	115	3s.15s	3S	3	0	0	0.55626800	-1.00000000	0.55626800
93	116	3s.14d	1D	1	2	0	0.55642400	0.55642400	0.55642400
182	117	3s.15s	1S	1	0	0	0.55650300	-1.00000000	0.55650300
120	118	3s.15p	3P*	3	1	1	0.55666200	-1.00000000	0.55666200
70	119	3s.14d	3D	3	2	0	0.55675900	0.55675930	0.55675930
55	120	3s.14f	1F*	1	3	1	0.55684800	0.55684840	0.55684840
40	121	3s.14f	3F*	3	3	1	0.55684800	0.55684840	0.55684840
142	122	3s.15p	1P*	1	1	1	0.55685100	0.55685110	0.55685110
163	123	3s.16s	3S	3	0	0	0.55701300	-1.00000000	0.55701300
94	124	3s.15d	1D	1	2	0	0.55716800	0.55716800	0.55716800
183	125	3s.16s	1S	1	0	0	0.55721200	-1.00000000	0.55721200
71	126	3s.15d	3D	3	2	0	0.55732000	-1.00000000	0.55732000
121	127	3s.16p	3P*	3	1	1	0.55733200	-1.00000000	0.55733200
56	128	3s.15f	1F*	1	3	1	0.55751300	0.55751290	0.55751290
41	129	3s.15f	3F*	3	3	1	0.55751300	0.55751290	0.55751290
143	130	3s.16p	1P*	1	1	1	0.55751500	0.55751540	0.55751540
164	131	3s.17s	3S	3	0	0	0.55761800	-1.00000000	0.55761800
95	132	3s.16d	1D	1	2	0	0.55777000	0.55777000	0.55777000
184	133	3s.17s	1S	1	0	0	0.55779100	-1.00000000	0.55779100
72	134	3s.16d	3D	3	2	0	0.55786900	-1.00000000	0.55786900
122	135	3s.17p	3P*	3	1	1	0.55788000	-1.00000000	0.55788000
144	136	3s.17p	1P*	1	1	1	0.55805800	0.55805840	0.55805840
165	137	3s.18s	3S	3	0	0	0.55811500	-1.00000000	0.55811500
96	138	3s.17d	1D	1	2	0	0.55826900	0.55826900	0.55826900
185	139	3s.18s	1S	1	0	0	0.55827200	-1.00000000	0.55827200
73	140	3s.17d	3D	3	2	0	0.55832400	-1.00000000	0.55832400
123	141	3s.18p	3P*	3	1	1	0.55833300	-1.00000000	0.55833300
145	142	3s.18p	1P*	1	1	1	0.55850800	0.55850820	0.55850820
166	143	3s.19s	3S	3	0	0	0.55853000	-1.00000000	0.55853000
186	144	3s.19s	1S	1	0	0	0.55868000	-1.00000000	0.55868000
97	145	3s.18d	1D	1	2	0	0.55868300	0.55868300	0.55868300
74	146	3s.18d	3D	3	2	0	0.55870500	-1.00000000	0.55870500
124	147	3s.19p	3P*	3	1	1	0.55871200	-1.00000000	0.55871200
167	148	3s.20s	3S	3	0	0	0.55887800	-1.00000000	0.55887800
146	149	3s.19p	1P*	1	1	1	0.55888500	0.55888510	0.55888510
75	150	3s.19d	3D	3	2	0	0.55902700	-1.00000000	0.55902700
98	151	3s.19d	1D	1	2	0	0.55903200	0.55903200	0.55903200
125	152	3s.20p	3P*	3	1	1	0.55903400	-1.00000000	0.55903400
187	153	3s.20s	1S	1	0	0	0.55910800	-1.00000000	0.55910800
147	154	3s.20p	1P*	1	1	1	0.55920400	0.55920400	0.55920400
76	155	3s.20d	3D	3	2	0	0.55930200	-1.00000000	0.55930200
99	156	3s.20d	1D	1	2	0	0.55932800	0.55932800	0.55932800
84	157	3p2	1D	1	2	0	0.63470200	-1.00000000	0.63470200
172	158	3p2	1S	1	0	0	0.68804800	-1.00000000	0.68804800
