Confk	Termk	Sk	Lk	Pk	gk	Ek(Ry)	Confi	Termi	Si	Li	Pi	gi	Ei(Ry)	Aki	fik	gf
3s.15p	1P*	1	1	1	3	0.55685110	3s.9s	1S	1	0	0	1	0.54409120	3.007e+03	6.899e-03	6.899e-03
3s.15p	1P*	1	1	1	3	0.55685110	3s.9d	1D	1	2	0	5	0.54791972	6.513e+03	6.098e-03	3.049e-02
3s.15p	1P*	1	1	1	3	0.55685110	3s.10s	1S	1	0	0	1	0.54806540	2.333e+03	1.129e-02	1.129e-02
3s.15p	1P*	1	1	1	3	0.55685110	3s.10d	1D	1	2	0	5	0.55072514	4.040e+03	8.042e-03	4.021e-02
3s.15p	1P*	1	1	1	3	0.55685110	3s.11s	1S	1	0	0	1	0.55111500	1.630e+03	1.850e-02	1.850e-02
3s.15p	1P*	1	1	1	3	0.55685110	3s.11d	1D	1	2	0	5	0.55277180	2.790e+03	1.252e-02	6.262e-02
3s.15p	1P*	1	1	1	3	0.55685110	3s.12s	1S	1	0	0	1	0.55304500	1.363e+03	3.514e-02	3.514e-02
3s.15p	1P*	1	1	1	3	0.55685110	3s.12d	1D	1	2	0	5	0.55430930	2.198e+03	2.541e-02	1.271e-01
3s.15p	1P*	1	1	1	3	0.55685110	3s.13s	1S	1	0	0	1	0.55449800	1.207e+03	8.140e-02	8.140e-02
3s.15p	1P*	1	1	1	3	0.55685110	3s.13d	1D	1	2	0	5	0.55549300	2.204e+03	8.926e-02	4.463e-01
3s.15p	1P*	1	1	1	3	0.55685110	3s.14s	1S	1	0	0	1	0.55561900	1.205e+03	2.964e-01	2.964e-01
3s.15p	1P*	1	1	1	3	0.55685110	3s.14d	1D	1	2	0	5	0.55642400	7.006e+03	2.869e+00	1.434e+01
3s.15p	1P*	1	1	1	3	0.55685110	3s.15s	1S	1	0	0	1	0.55650300	1.897e+03	5.845e+00	5.845e+00
3s.16s	3S	3	0	0	3	0.55701300	3s.3p	3P*	3	1	1	9	0.19948414	5.633e+06	1.829e-03	1.646e-02
3s.16s	3S	3	0	0	3	0.55701300	3s.4p	3P*	3	1	1	9	0.43602120	3.121e+05	8.847e-04	7.963e-03
3s.16s	3S	3	0	0	3	0.55701300	3s.5p	3P*	3	1	1	9	0.49437523	8.245e+04	8.720e-04	7.848e-03
3s.16s	3S	3	0	0	3	0.55701300	3s.6p	3P*	3	1	1	9	0.51958967	3.346e+04	9.915e-04	8.924e-03
