AtomicNumber	IonCharge	ModelIndex	LowerLevel	UpperLevel	Temperature	CollisionStrength	Source
12	0	1	1	4	9000.0	0.9129999999999999	999
12	0	1	1	4	10000.0	0.929	999
12	0	1	1	4	11000.0	0.9420000000000001	999
12	0	1	1	4	12000.0	0.953	999
12	0	1	1	4	13000.0	0.961	999
12	0	1	1	4	14000.0	0.9670000000000001	999
12	0	1	1	4	15000.0	0.971	999
12	0	1	1	4	16000.0	0.9740000000000001	999
12	0	1	2	4	3000.0	7.79	999
12	0	1	2	4	4000.0	9.2	999
12	0	1	2	4	5000.0	10.3	999
12	0	1	2	4	6000.0	11.2	999
12	0	1	2	4	7000.0	12.0	999
12	0	1	2	4	8000.0	12.7	999
12	0	1	2	4	9000.0	13.3	999
12	0	1	2	4	10000.0	13.9	999
12	0	1	2	4	11000.0	14.4	999
12	0	1	2	4	12000.0	14.9	999
12	0	1	2	4	13000.0	15.4	999
12	0	1	2	4	14000.0	15.9	999
12	0	1	2	4	15000.0	16.3	999
12	0	1	2	4	16000.0	16.7	999
12	0	1	3	4	3000.0	1.24	999
12	0	1	3	4	4000.0	1.48	999
12	0	1	3	4	5000.0	1.67	999
12	0	1	3	4	6000.0	1.83	999
12	0	1	3	4	7000.0	1.97	999
12	0	1	3	4	8000.0	2.09	999
12	0	1	3	4	9000.0	2.19	999
12	0	1	3	4	10000.0	2.29	999
12	0	1	3	4	11000.0	2.37	999
12	0	1	3	4	12000.0	2.45	999
12	0	1	3	4	13000.0	2.51	999
12	0	1	3	4	14000.0	2.57	999
12	0	1	3	4	15000.0	2.62	999
12	0	1	3	4	16000.0	2.66	999
12	0	1	1	5	3000.0	0.43700000000000006	999
12	0	1	1	5	4000.0	0.502	999
12	0	1	1	5	5000.0	0.547	999
12	0	1	1	5	6000.0	0.581	999
12	0	1	1	5	7000.0	0.608	999
12	0	1	1	5	8000.0	0.63	999
12	0	1	1	5	9000.0	0.648	999
12	0	1	1	5	10000.0	0.665	999
12	0	1	1	5	11000.0	0.6809999999999999	999
12	0	1	1	5	12000.0	0.695	999
12	0	1	1	5	13000.0	0.708	999
12	0	1	1	5	14000.0	0.721	999
12	0	1	1	5	15000.0	0.7340000000000001	999
12	0	1	1	5	16000.0	0.746	999
12	0	1	2	5	3000.0	1.51	999
12	0	1	2	5	4000.0	1.75	999
12	0	1	2	5	5000.0	1.91	999
12	0	1	2	5	6000.0	2.03	999
12	0	1	2	5	7000.0	2.13	999
12	0	1	2	5	8000.0	2.21	999
12	0	1	2	5	9000.0	2.27	999
12	0	1	2	5	10000.0	2.32	999
12	0	1	2	5	11000.0	2.37	999
12	0	1	2	5	12000.0	2.4	999
12	0	1	2	5	13000.0	2.43	999
12	0	1	2	5	14000.0	2.45	999
12	0	1	2	5	15000.0	2.46	999
12	0	1	2	5	16000.0	2.48	999
12	0	1	3	5	3000.0	54.0	999
12	0	1	3	5	4000.0	60.6	999
12	0	1	3	5	5000.0	64.6	999
12	0	1	3	5	6000.0	67.0	999
12	0	1	3	5	7000.0	68.6	999
12	0	1	3	5	8000.0	69.5	999
12	0	1	3	5	9000.0	70.1	999
12	0	1	3	5	10000.0	70.4	999
12	0	1	3	5	11000.0	70.5	999
12	0	1	3	5	12000.0	70.5	999
12	0	1	3	5	13000.0	70.5	999
12	0	1	3	5	14000.0	70.4	999
12	0	1	3	5	15000.0	70.3	999
12	0	1	3	5	16000.0	70.3	999
12	0	1	4	5	3000.0	1.14	999
12	0	1	4	5	4000.0	1.35	999
12	0	1	4	5	5000.0	1.52	999
12	0	1	4	5	6000.0	1.66	999
12	0	1	4	5	7000.0	1.78	999
12	0	1	4	5	8000.0	1.89	999
12	0	1	4	5	9000.0	1.98	999
12	0	1	4	5	10000.0	2.07	999
12	0	1	4	5	11000.0	2.14	999
12	0	1	4	5	12000.0	2.21	999
12	0	1	4	5	13000.0	2.27	999
12	0	1	4	5	14000.0	2.32	999
12	0	1	4	5	15000.0	2.36	999
12	0	1	4	5	16000.0	2.4	999
12	0	1	1	6	3000.0	2.24	999
12	0	1	1	6	4000.0	2.5	999
12	0	1	1	6	5000.0	2.64	999
12	0	1	1	6	6000.0	2.71	999
12	0	1	1	6	7000.0	2.74	999
12	0	1	1	6	8000.0	2.75	999
12	0	1	1	6	9000.0	2.75	999
