Confk	Termk	Sk	Lk	Pk	gk	Ek(Ry)	Confi	Termi	Si	Li	Pi	gi	Ei(Ry)	Aki	fik	gf
3s.7p	3P*	3	1	1	1	0.53287880	3s.4s	3S	3	0	0	3	0.37541836	5.519e+05	9.237e-04	2.771e-03
3s.7p	3P*	3	1	1	1	0.53287880	3s.3d	3D	3	2	0	3	0.43701687	1.072e+00	4.839e-09	1.452e-08
3s.7p	3P*	3	1	1	1	0.53287880	3s.5s	3S	3	0	0	3	0.47269724	1.270e+05	1.460e-03	4.380e-03
3s.7p	3P*	3	1	1	1	0.53287880	3s.4d	3D	3	2	0	3	0.49383689	5.486e+04	1.494e-03	4.481e-03
3s.7p	3P*	3	1	1	1	0.53287880	3s.6s	3S	3	0	0	3	0.50932360	1.413e+05	1.057e-02	3.170e-02
3s.7p	3P*	3	1	1	1	0.53287880	3s.5d	3D	3	2	0	3	0.51913308	9.109e+04	2.001e-02	6.002e-02
3s.7p	3P*	3	1	1	1	0.53287880	3p2	3P	3	1	0	3	0.52701670	1.577e+00	1.905e-06	5.714e-06
3s.7p	3P*	3	1	1	1	0.53287880	3s.7s	3S	3	0	0	3	0.52721550	2.304e+05	2.981e-01	8.942e-01
3s.7p	3P*	3	1	1	1	0.53287880	3s.6d	3D	3	2	0	3	0.53257065	1.242e+02	5.427e-02	1.628e-01
3s.7p	3P*	3	1	1	3	0.53288182	3s2	1S	1	0	0	1	0.00000000	6.984e+02	9.185e-07	9.185e-07
3s.7p	3P*	3	1	1	3	0.53288182	3s.4s	3S	3	0	0	3	0.37541836	5.518e+05	2.771e-03	8.312e-03
3s.7p	3P*	3	1	1	3	0.53288182	3s.4s	1S	1	0	0	1	0.39643154	1.384e+00	2.777e-08	2.777e-08
3s.7p	3P*	3	1	1	3	0.53288182	3s.3d	1D	1	2	0	5	0.42285584	3.392e+01	2.093e-07	1.047e-06
3s.7p	3P*	3	1	1	3	0.53288182	3s.3d	3D	3	2	0	3	0.43701687	2.853e-01	3.864e-09	1.159e-08
3s.7p	3P*	3	1	1	3	0.53288182	3s.3d	3D	3	2	0	5	0.43701659	8.580e-01	6.974e-09	3.487e-08
3s.7p	3P*	3	1	1	3	0.53288182	3s.5s	3S	3	0	0	3	0.47269724	1.280e+05	4.390e-03	1.317e-02
3s.7p	3P*	3	1	1	3	0.53288182	3s.5s	1S	1	0	0	1	0.47892739	7.151e+00	9.175e-07	9.175e-07
