K	Conf	Term	2S+1	L	P	2J	CF	AS(Ryd)	NIST(Ryd)	Energy
175	3s.11f	1F*	1	3	1	6	48	0.552478	0.553647	0.553647
176	3s.11f	3F*	3	3	1	4	48	0.552478	0.553647	0.553647
177	3s.11f	3F*	3	3	1	6	48	0.552478	0.553647	0.553647
178	3s.11f	3F*	3	3	1	8	48	0.552478	0.553647	0.553647
179	3s.13s	3S	3	0	0	2	53	0.553086	0.554252	0.554252
180	3s.12d	1D	1	2	0	4	51	0.553125	0.554309	0.554309
181	3s.13s	1S	1	0	0	0	53	0.553359	-1.000000	0.553359
182	3s.13p	3P*	3	1	1	0	54	0.553656	-1.000000	0.553656
183	3s.13p	3P*	3	1	1	2	54	0.553656	-1.000000	0.553656
184	3s.13p	3P*	3	1	1	4	54	0.553657	-1.000000	0.553657
185	3s.12d	3D	3	2	0	6	51	0.553675	0.554842	0.554842
186	3s.12d	3D	3	2	0	4	51	0.553675	0.554842	0.554842
187	3s.12d	3D	3	2	0	2	51	0.553675	0.554842	0.554842
188	3s.13p	1P*	1	1	1	2	54	0.553774	0.554988	0.554988
189	3s.12f	1F*	1	3	1	6	52	0.553816	0.554984	0.554984
190	3s.12f	3F*	3	3	1	4	52	0.553816	0.554984	0.554984
191	3s.12f	3F*	3	3	1	6	52	0.553816	0.554984	0.554984
192	3s.12f	3F*	3	3	1	8	52	0.553816	0.554984	0.554984
193	3s.14s	3S	3	0	0	2	57	0.554287	0.555453	0.555453
194	3s.13d	1D	1	2	0	4	55	0.554313	0.555493	0.555493
195	3s.14s	1S	1	0	0	0	57	0.554484	-1.000000	0.554484
196	3s.14p	3P*	3	1	1	0	58	0.554706	-1.000000	0.554706
197	3s.14p	3P*	3	1	1	2	58	0.554706	-1.000000	0.554706
198	3s.14p	3P*	3	1	1	4	58	0.554707	-1.000000	0.554707
199	3s.13d	3D	3	2	0	6	55	0.554746	0.555912	0.555912
200	3s.13d	3D	3	2	0	4	55	0.554746	0.555912	0.555912
201	3s.13d	3D	3	2	0	2	55	0.554746	0.555912	0.555912
202	3s.14p	1P*	1	1	1	2	58	0.554820	0.556027	0.556027
203	3s.13f	1F*	1	3	1	6	56	0.554856	0.556024	0.556024
204	3s.13f	3F*	3	3	1	4	56	0.554856	0.556024	0.556024
205	3s.13f	3F*	3	3	1	6	56	0.554856	0.556024	0.556024
206	3s.13f	3F*	3	3	1	8	56	0.554856	0.556024	0.556024
207	3s.15s	3S	3	0	0	2	61	0.555145	-1.000000	0.555145
208	3s.14d	1D	1	2	0	4	59	0.555247	0.556424	0.556424
209	3s.15s	1S	1	0	0	0	61	0.555370	-1.000000	0.555370
210	3s.15p	3P*	3	1	1	0	62	0.555538	-1.000000	0.555538
211	3s.15p	3P*	3	1	1	2	62	0.555538	-1.000000	0.555538
212	3s.15p	3P*	3	1	1	4	62	0.555539	-1.000000	0.555539
213	3s.14d	3D	3	2	0	6	59	0.555593	0.556759	0.556759
214	3s.14d	3D	3	2	0	4	59	0.555593	0.556759	0.556759
215	3s.14d	3D	3	2	0	2	59	0.555593	0.556759	0.556759
216	3s.15p	1P*	1	1	1	2	62	0.555649	0.556851	0.556851
217	3s.14f	1F*	1	3	1	6	60	0.555681	0.556848	0.556848
218	3s.14f	3F*	3	3	1	4	60	0.555681	0.556848	0.556848
219	3s.14f	3F*	3	3	1	6	60	0.555681	0.556848	0.556848
220	3s.14f	3F*	3	3	1	8	60	0.555681	0.556848	0.556848
221	3s.16s	3S	3	0	0	2	65	0.555890	-1.000000	0.555890
222	3s.15d	1D	1	2	0	4	63	0.555994	0.557168	0.557168
223	3s.16s	1S	1	0	0	0	65	0.556080	-1.000000	0.556080
224	3s.15d	3D	3	2	0	6	63	0.556197	-1.000000	0.556197
225	3s.15d	3D	3	2	0	4	63	0.556197	-1.000000	0.556197
226	3s.15d	3D	3	2	0	2	63	0.556197	-1.000000	0.556197
227	3s.16p	3P*	3	1	1	0	66	0.556207	-1.000000	0.556207
228	3s.16p	3P*	3	1	1	2	66	0.556208	-1.000000	0.556208
229	3s.16p	3P*	3	1	1	4	66	0.556208	-1.000000	0.556208
230	3s.16p	1P*	1	1	1	2	66	0.556317	0.557515	0.557515
231	3s.15f	1F*	1	3	1	6	64	0.556346	0.557513	0.557513
232	3s.15f	3F*	3	3	1	4	64	0.556346	0.557513	0.557513
233	3s.15f	3F*	3	3	1	6	64	0.556346	0.557513	0.557513
234	3s.15f	3F*	3	3	1	8	64	0.556346	0.557513	0.557513
