AtomicNumber	IonCharge	ModelIndex	LowerLevel	UpperLevel	Temperature	CollisionStrength	Source
12	0	1	3	7	12000.0	14.381412293910044	999
12	0	1	3	7	13000.0	14.268464178719716	999
12	0	1	3	7	14000.0	14.134177562203961	999
12	0	1	3	7	15000.0	13.98426988576489	999
12	0	1	3	7	16000.0	13.823120465092389	999
12	0	1	4	7	3000.0	484.49065010932344	999
12	0	1	4	7	4000.0	496.38327802120284	999
12	0	1	4	7	5000.0	498.0696493678965	999
12	0	1	4	7	6000.0	494.85112596581564	999
12	0	1	4	7	7000.0	489.32462007855185	999
12	0	1	4	7	8000.0	482.85544990913786	999
12	0	1	4	7	9000.0	476.1845575041929	999
12	0	1	4	7	10000.0	469.71527556030594	999
12	0	1	4	7	11000.0	463.66106151028595	999
12	0	1	4	7	12000.0	458.1261131440115	999
12	0	1	4	7	13000.0	453.15112435194027	999
12	0	1	4	7	14000.0	448.73997803992677	999
12	0	1	4	7	15000.0	444.8756161827539	999
12	0	1	4	7	16000.0	441.52958991116134	999
12	0	1	5	7	3000.0	2.9757672752821565	999
12	0	1	5	7	4000.0	3.3284819752212265	999
12	0	1	5	7	5000.0	3.5926237589252636	999
12	0	1	5	7	6000.0	3.794769079786715	999
12	0	1	5	7	7000.0	3.9507141162480868	999
12	0	1	5	7	8000.0	4.070767119904073	999
12	0	1	5	7	9000.0	4.162144778674315	999
12	0	1	5	7	10000.0	4.2301863131740065	999
12	0	1	5	7	11000.0	4.279011527236265	999
12	0	1	5	7	12000.0	4.311897570267804	999
12	0	1	5	7	13000.0	4.331506971271101	999
12	0	1	5	7	14000.0	4.340034026743319	999
12	0	1	5	7	15000.0	4.339304486703572	999
12	0	1	5	7	16000.0	4.3308472020725475	999
12	0	1	6	7	3000.0	20.88186114908898	999
12	0	1	6	7	4000.0	22.57998176725242	999
12	0	1	6	7	5000.0	23.694250489615108	999
12	0	1	6	7	6000.0	24.44100183359769	999
12	0	1	6	7	7000.0	24.938615537011266	999
12	0	1	6	7	8000.0	25.25802271712618	999
12	0	1	6	7	9000.0	25.444839284985886	999
12	0	1	6	7	10000.0	25.530178225390536	999
12	0	1	6	7	11000.0	25.53632193606856	999
12	0	1	6	7	12000.0	25.479867326575825	999
12	0	1	6	7	13000.0	25.373558747681816	999
12	0	1	6	7	14000.0	25.22740929146713	999
12	0	1	6	7	15000.0	25.049420328350728	999
12	0	1	6	7	16000.0	24.846064891445586	999
12	0	1	1	8	3000.0	4.121853622792273	999
12	0	1	1	8	4000.0	4.266086599505823	999
12	0	1	1	8	5000.0	4.332489832884163	999
12	0	1	1	8	6000.0	4.355823212375158	999
12	0	1	1	8	7000.0	4.352808449773442	999
12	0	1	1	8	8000.0	4.332643926087021	999
12	0	1	1	8	9000.0	4.30088984704486	999
12	0	1	1	8	10000.0	4.261143725257644	999
12	0	1	1	8	11000.0	4.215851332990516	999
12	0	1	1	8	12000.0	4.166736610303792	999
12	0	1	1	8	13000.0	4.115047099384536	999
12	0	1	1	8	14000.0	4.061702905021709	999
12	0	1	1	8	15000.0	4.007391801394938	999
12	0	1	1	8	16000.0	3.952632547846348	999
12	0	1	2	8	3000.0	34.13899050962128	999
12	0	1	2	8	4000.0	37.20712267043205	999
12	0	1	2	8	5000.0	39.6694185361514	999
12	0	1	2	8	6000.0	41.759772002758524	999
12	0	1	2	8	7000.0	43.5926134835918	999
12	0	1	2	8	8000.0	45.23289826682091	999
12	0	1	2	8	9000.0	46.72184736472553	999
12	0	1	2	8	10000.0	48.087933162116514	999
12	0	1	2	8	11000.0	49.35210575946238	999
12	0	1	2	8	12000.0	50.53050261813299	999
12	0	1	2	8	13000.0	51.63596125719977	999
