---------------------------------------------------------------------------------------------------------------------------------------
     Observed          Aki          fik       Acc.         Ei           Ek             Lower level             Upper level        Type 
    Wavelength        (s^-1)                              (Ry)         (Ry)       ---------------------- ------------------------------
     Vac (nm)                                                                      Conf.     Term   J     Conf.    Term   J            
---------------------------------------------------------------------------------------------------------------------------------------
        880.6757    1.27e+07     2.45e-01     A       0.31941062      0.42285584   3s.3p     1P*    1     3s.3d    1D     2            
        892.3569    5.86e+05     2.10e-02     B       0.39643154      0.49852264   3s.4s     1S     0     3s.5p    1P*    1            
        924.6499    2.99e+05     2.30e-03     B       0.42285584      0.52138137   3s.3d     1D     2     3s.6p    1P*    1            
        925.5778    7.95e+06     1.43e-01     B+      0.42285584      0.52128269   3s.3d     1D     2     3s.5f    1F*    3            
        941.4964    2.88e+06     5.36e-02     C+      0.43701659      0.53377948   3s.3d     3D     2     3s.6f    3F*    3            
        941.4964    3.24e+06     5.54e-02     B       0.43701675      0.53377948   3s.3d     3D     3     3s.6f    3F*    4            
        941.4964    2.72e+06     6.03e-02     C+      0.43701687      0.53377948   3s.3d     3D     1     3s.6f    3F*    2            
        942.9814    1.34e+06     5.36e-02     C       0.43596035      0.53257065   3s.4p     3P*    0     3s.6d    3D     1            
        943.2764    1.81e+06     4.02e-02     C+      0.43599038      0.53257046   3s.4p     3P*    1     3s.6d    3D     2            
        943.8783    2.41e+06     4.50e-02     C+      0.43605187      0.53257037   3s.4p     3P*    2     3s.6d    3D     3            
        966.554     2.44e+05     5.70e-03     C+      0.44968048      0.54393522   3s.4p     1P*    1     3s.8d    1D     2            
        998.320     1.57e+05     7.03e-03     E       0.43596035      0.52721550   3s.4p     3P*    0     3s.7s    3S     1            
        998.6475    4.70e+05     7.03e-03     D       0.43599038      0.52721550   3s.4p     3P*    1     3s.7s    3S     1            
        999.3209    7.81e+05     7.02e-03     D       0.43605187      0.52721550   3s.4p     3P*    2     3s.7s    3S     1            
       1029.929     5.28e+05     2.80e-03     C       0.44968048      0.5381353    3s.4p     1P*    1     3s.8s    1S     0            
       1031.2531    2.33e+05     6.20e-03     C+      0.44968048      0.53802135   3s.4p     1P*    1     3s.7d    1D     2            
       1081.1084    5.95e+06     1.46e-01     B       0.43701659      0.52128364   3s.3d     3D     2     3s.5f    3F*    3            
       1095.3320    2.54e+06     1.37e-01     C+      0.43596035      0.51913308   3s.4p     3P*    0     3s.5d    3D     1            
       1095.7304    3.43e+06     1.03e-01     B       0.43599038      0.51913287   3s.4p     3P*    1     3s.5d    3D     2            
       1096.5450    4.55e+06     1.15e-01     B       0.43605187      0.51913260   3s.4p     3P*    2     3s.5d    3D     3            
       1103.2103    1.73e+05     2.26e-03     C       0.43701675      0.51959559   3s.3d     3D     3     3s.6p    3P*    2            
       1103.3662    1.54e+05     1.69e-03     D+      0.43701659      0.51958373   3s.3d     3D     2     3s.6p    3P*    1            
       1103.451     2.05e+05     1.25e-03     D       0.43701687      0.51957785   3s.3d     3D     1     3s.6p    3P*    0            
       1152.2240    1.24e+05     4.10e-03     B       0.44968048      0.52874672   3s.4p     1P*    1     3s.6d    1D     2            
       1154.0672    9.61e+05     6.40e-03     C+      0.44968048      0.5286206    3s.4p     1P*    1     3s.7s    1S     0            
       1182.8171    2.22e+07     1.55e-01     A       0.31941062      0.39643154   3s.3p     1P*    1     3s.4s    1S     0            
       1203.9822    4.52e+05     5.90e-03     B       0.42285584      0.49852264   3s.3d     1D     2     3s.5p    1P*    1            
       1208.3649    1.68e+07     5.14e-01     A       0.42285584      0.49824836   3s.3d     1D     2     3s.4f    1F*    3            
       1241.7937    3.13e+05     2.17e-02     C       0.43596035      0.5093236    3s.4p     3P*    0     3s.6s    3S     1            
       1242.3029    9.33e+05     2.16e-02     C       0.43599038      0.5093236    3s.4p     3P*    1     3s.6s    3S     1            
       1243.3452    1.55e+06     2.16e-02     C+      0.43605187      0.5093236    3s.4p     3P*    2     3s.6s    3S     1            
