K	Conf	Term	2S+1	L	P	2J	CF	AS (Ryd)	NIST (Ryd)	Energy
156	3s.7g	3G	3	4	0	8	24	0.541487	0.541507	0.541507
157	3s.7g	3G	3	4	0	10	24	0.541487	0.541507	0.541507
158	3s.7h	1H*	1	5	1	10	25	0.541538	0.541556	0.541556
159	3s.7h	3H*	3	5	1	12	25	0.541538	0.541556	0.541556
160	3s.7h	3H*	3	5	1	8	25	0.541538	0.541556	0.541556
161	3s.7h	3H*	3	5	1	10	25	0.541538	0.541556	0.541556
162	3s.7i	1I	1	6	0	12	26	0.541553	0.541571	0.541571
163	3s.7i	3I	3	6	0	10	26	0.541553	0.541571	0.541571
164	3s.7i	3I	3	6	0	14	26	0.541553	0.541571	0.541571
165	3s.7i	3I	3	6	0	12	26	0.541553	0.541571	0.541571
166	3s.9s	3S	3	0	0	2	33	0.543554	0.543563	0.543563
167	3s.8d	1D	1	2	0	4	29	0.543720	0.543935	0.543935
168	3s.9s	1S	1	0	0	0	33	0.544344	0.544091	0.544091
169	3s.8d	3D	3	2	0	6	29	0.545668	0.545677	0.545677
170	3s.8d	3D	3	2	0	4	29	0.545668	0.545677	0.545677
171	3s.8d	3D	3	2	0	2	29	0.545668	0.545678	0.545678
172	3s.9p	3P*	3	1	1	2	34	0.545848	0.545829	0.545829
173	3s.9p	3P*	3	1	1	4	34	0.545848	0.545829	0.545829
174	3s.9p	3P*	3	1	1	0	34	0.545848	0.545829	0.545829
175	3s.9p	1P*	1	1	1	2	34	0.546048	0.546183	0.546183
176	3s.8f	1F*	1	3	1	6	30	0.546143	0.546171	0.546171
177	3s.8f	3F*	3	3	1	4	30	0.546144	0.546171	0.546171
178	3s.8f	3F*	3	3	1	6	30	0.546144	0.546171	0.546171
179	3s.8f	3F*	3	3	1	8	30	0.546144	0.546171	0.546171
180	3s.8g	1G	1	4	0	8	31	0.546293	0.546312	0.546312
181	3s.8g	3G	3	4	0	6	31	0.546293	0.546312	0.546312
182	3s.8g	3G	3	4	0	8	31	0.546293	0.546312	0.546312
183	3s.8g	3G	3	4	0	10	31	0.546293	0.546312	0.546312
184	3s.8h	1H*	1	5	1	10	32	0.546328	0.546346	0.546346
185	3s.8h	3H*	3	5	1	12	32	0.546328	0.546346	0.546346
186	3s.8h	3H*	3	5	1	8	32	0.546328	0.546346	0.546346
187	3s.8h	3H*	3	5	1	10	32	0.546328	0.546346	0.546346
188	3s.10s	3S	3	0	0	2	41	0.547695	0.547708	0.547708
189	3s.9d	1D	1	2	0	4	35	0.547768	0.547920	0.547920
190	3s.10s	1S	1	0	0	0	41	0.548467	0.548065	0.548065
191	3s.9d	3D	3	2	0	6	35	0.549150	0.549162	0.549162
192	3s.9d	3D	3	2	0	4	35	0.549150	0.549162	0.549162
193	3s.9d	3D	3	2	0	2	35	0.549150	0.549162	0.549162
194	3s.10p	1P*	1	1	1	2	42	0.549407	0.549515	0.549515
195	3s.9f	1F*	1	3	1	6	36	0.549481	0.549506	0.549506
196	3s.9f	3F*	3	3	1	4	36	0.549481	0.549506	0.549506
197	3s.9f	3F*	3	3	1	6	36	0.549481	0.549506	0.549506
198	3s.9f	3F*	3	3	1	8	36	0.549481	0.549506	0.549506
199	3s.9g	1G	1	4	0	8	37	0.549587	0.549606	0.549606
200	3s.9g	3G	3	4	0	6	37	0.549587	0.549606	0.549606
201	3s.9g	3G	3	4	0	8	37	0.549587	0.549606	0.549606
202	3s.9g	3G	3	4	0	10	37	0.549587	0.549606	0.549606
203	3s.9h	1H*	1	5	1	10	38	0.549612	0.549630	0.549630
204	3s.9h	3H*	3	5	1	8	38	0.549612	0.549630	0.549630
205	3s.9h	3H*	3	5	1	12	38	0.549612	0.549630	0.549630
206	3s.9h	3H*	3	5	1	10	38	0.549612	0.549630	0.549630
207	3s.9i	1I	1	6	0	12	39	0.549619	0.549637	0.549637
208	3s.9i	3I	3	6	0	14	39	0.549619	0.549637	0.549637
209	3s.9i	3I	3	6	0	10	39	0.549619	0.549637	0.549637
210	3s.9i	3I	3	6	0	12	39	0.549619	0.549637	0.549637
211	3s.9k	1K*	1	7	1	14	40	0.549622	0.549640	0.549640
212	3s.9k	3K*	3	7	1	16	40	0.549622	0.549640	0.549640
213	3s.9k	3K*	3	7	1	12	40	0.549622	0.549640	0.549640
