------------------------------------------------------------------------------------
Configuration                           Term                J             Level(Ry) 
3s.15d                                  1D                  2             0.557168                 
3s.15f                                  3F*                 2             0.5575129                
3s.15f                                  3F*                 3             0.5575129                
3s.15f                                  3F*                 4             0.5575129                
3s.15f                                  1F*                 3             0.5575129                
3s.16p                                  1P*                 1             0.5575154                
3s.16d                                  1D                  2             0.557770                 
3s.17p                                  1P*                 1             0.5580584                
3s.17d                                  1D                  2             0.558269                 
3s.18p                                  1P*                 1             0.5585082                
3s.18d                                  1D                  2             0.558683                 
3s.19p                                  1P*                 1             0.5588851                
3s.19d                                  1D                  2             0.559032                 
3s.20p                                  1P*                 1             0.5592040                
3s.20d                                  1D                  2             0.559328                 
